Genus,Genus taxid,16S gene count
Candidatus Nitrosotalea,1078904,1.0
Candidatus Nitrosotenuis,1825023,1.0
Candidatus Nucleicultrix,1509243,2.0
Candidatus Paracaedibacter,1521255,2.0
Candidatus Pelagibacter,198251,1.0
Candidatus Phycorickettsia,2115980,1.0
Candidatus Phytoplasma,33926,2.0
Candidatus Planktophila,622681,1.0
Candidatus Portiera,235572,1.0
Candidatus Profftella,1381133,1.0
Candidatus Promineofilum,1988031,1.0
Candidatus Protochlamydia,282132,4.0
Candidatus Puniceispirillum,767891,1.0
Candidatus Purcelliella,472825,1.0
Candidatus Riesia,401618,2.0
Candidatus Ruthia,1541743,1.0
Candidatus Solibacter,332162,2.0
Candidatus Sulcia,336809,1.0
Candidatus Symbiobacter,1436289,2.0
Candidatus Tachikawaea,1682492,3.0
Candidatus Thioglobus,655184,1.0
Candidatus Tremblaya,189384,2.0
Candidatus Vidania,1191175,1.0
Candidatus Walczuchella,1940138,1.0
Candidatus Xiphinematobacter,134550,1.0
Capnocytophaga,1016,4.0
Carboxydocella,178898,5.0
Carboxydothermus,129957,4.0
Carnobacterium,2747,8.0
Castellaniella,359336,2.0
Catenovulum,1172191,7.0
Catenulispora,414878,3.0
Caulobacter,75,2.0
Cedecea,158483,7.0
Celeribacter,875170,2.0
Cellulomonas,1707,2.0
Cellulophaga,104264,4.0
Cellulosilyticum,698776,11.0
Cellulosimicrobium,157920,3.0
Cellvibrio,10,3.0
Chania,1745211,7.0
Chelativorans,449972,2.0
Chelatococcus,28209,2.0
Chitinophaga,79328,5.0
Chlamydia,810,2.0
Chloracidobacterium,458032,1.0
Chlorobaculum,256319,2.0
Chlorobium,1091,2.0
Chloroflexus,1107,3.0
Chloroherpeton,100715,1.0
Chondrocystis,268175,3.0
Chondromyces,50,3.0
Christensenella,990721,3.0
Chromobacterium,535,8.0
Chromohalobacter,42054,5.0
Chroococcidiopsis,54298,3.0
Chryseobacterium,59732,6.0
Chthoniobacter,295577,1.0
Citrobacter,544,8.0
Citromicrobium,72173,1.0
Clavibacter,1573,2.0
Cloacibacillus,508459,5.0
Clostridioides,1870884,12.0
Clostridium,1485,9.0
Cnuibacter,1759331,2.0
Cobetia,204286,7.0
Collimonas,202907,3.0
Collinsella,102106,5.0
Colwellia,28228,6.0
Comamonas,283,4.0
Conexibacter,191494,1.0
Confluentimicrobium,1609958,2.0
Coprothermobacter,68335,2.0
Coraliomargarita,442430,2.0
Corallococcus,83461,3.0
Coriobacterium,33870,2.0
Corynebacterium,1716,4.0
Coxiella,776,1.0
Crinalium,241421,4.0
Croceibacter,216431,2.0
Croceicoccus,1295327,1.5
Cronobacter,413496,7.0
Cryobacterium,69578,3.0
Cryptobacterium,84162,3.0
Cuniculiplasma,1747777,1.0
Cupriavidus,106589,5.0
Curtobacterium,2034,3.0
Cutibacterium,1912216,3.0
Cyanobacterium,102234,3.0
Cyanobium,167375,2.5
Cyanospira,165798,4.0
Cyanothece,43988,2.0
Cyclobacterium,68288,3.5
Cycloclasticus,34067,1.0
Cystobacter,42,4.0
Cytophaga,978,3.0
Dactylococcopsis,13034,3.0
Dechloromonas,73029,3.5
Deferribacter,53572,2.0
Defluviimonas,1097466,2.0
Defluviitoga,1511648,3.0
Dehalobacter,56112,3.0
Dehalobacterium,51514,5.0
Dehalococcoides,61434,1.0
Dehalogenimonas,670486,1.0
Deinococcus,1298,3.0
Delftia,80865,5.0
Denitrobacterium,79603,3.0
Denitrovibrio,117999,2.0
Dermabacter,36739,3.0
Dermacoccus,57495,3.0
Dermatophilus,1862,3.0
Desulfallas,2282740,8.0
Desulfarculus,453229,1.0
Desulfatibacillum,218207,2.0
Desulfitobacterium,36853,6.0
Desulfobacca,60892,1.0
Desulfobacterium,2295,6.0
Desulfobacula,28222,4.0
Desulfobulbus,893,2.0
Desulfocapsa,53318,3.0
Desulfococcus,896,3.0
Desulfofarcimen,2282742,10.0
Desulfohalobium,45662,2.0
Desulfomicrobium,898,2.0
Desulfomonile,2357,1.0
Desulfosporosinus,79206,9.0
Desulfotalea,109168,7.0
Desulfotomaculum,1562,8.0
Desulfovibrio,872,3.5
Desulfurella,33001,2.0
Desulfurispirillum,393029,3.0
Desulfurivibrio,427922,2.0
Desulfurobacterium,64159,2.0
Desulfurococcus,2273,1.0
Desulfuromonas,890,2.0
Devosia,46913,2.0
Devriesea,472568,2.0
Dialister,39948,5.0
Diaphorobacter,238749,3.0
Dichelobacter,869,3.0
Dickeya,204037,7.0
Dictyoglomus,13,2.0
Dietzia,37914,3.0
Dinoroseobacter,309512,2.0
Dokdonella,323413,2.0
Dokdonia,326319,3.0
Dolichospermum,748770,5.0
Draconibacterium,1471399,2.0
Dyadobacter,120831,4.0
Dyella,231454,2.0
Echinicola,390846,4.0
Ectothiorhodospira,1051,2.0
Edwardsiella,635,8.0
Eggerthella,84111,3.0
Ehrlichia,943,1.0
Eikenella,538,4.0
Elizabethkingia,308865,5.0
Elusimicrobium,423604,1.0
Endomicrobium,1408194,1.0
Ensifer,106591,4.0
Enterobacter,547,8.0
Enterococcus,1350,6.0
Entomoplasma,46238,1.5
Epibacterium,1649279,4.0
Erwinia,551,7.0
Erysipelothrix,1647,5.0
Erythrobacter,1041,1.0
Escherichia,561,7.0
Ethanoligenens,253238,3.0
Eubacterium,1730,5.0
Euzebya,908623,2.0
Exiguobacterium,33986,9.0
Ezakiella,1582879,2.0
Faecalibacterium,216851,6.0
Faecalibaculum,1729679,14.0
Fastidiosipila,236752,2.0
Fermentimonas,1784836,2.0
Ferrimonas,44011,7.0
Ferroglobus,54260,1.0
Ferroplasma,74968,1.0
Fervidobacterium,2422,2.0
Fibrella,861914,3.0
Fibrobacter,832,3.0
Fictibacillus,1329200,7.0
Filifactor,44259,4.0
Filimonas,649460,5.0
Filomicrobium,119044,1.0
Fimbriimonas,1005038,2.0
Finegoldia,150022,4.0
Fischerella,1190,4.0
Flagellimonas,444459,2.0
Flammeovirga,59739,8.0
Flavisolibacter,398041,3.0
Flavivirga,1209327,2.0
Flavobacterium,237,5.0
Flavonifractor,946234,2.0
Flexistipes,2351,2.0
Fluviicola,332102,2.0
Formosa,225842,2.0
Francisella,262,3.0
Frankia,1854,2.0
Frateuria,70411,4.0
Frischella,1335631,4.0
Frondihabitans,447237,2.0
Fuerstia,1936111,2.0
Fusobacterium,848,5.0
Gallaecimonas,745410,6.0
Gallibacterium,155493,6.0
Gallionella,96,3.0
Gardnerella,2701,2.0
Geitlerinema,63132,3.0
Gemella,1378,4.0
Geminocystis,669357,3.0
Gemmata,113,4.0
Gemmatimonas,173479,1.5
Gemmatirosa,1706036,2.0
Gemmobacter,204456,3.0
Geoalkalibacter,392332,3.0
Geobacillus,129337,10.0
Geobacter,28231,2.0
Geodermatophilus,1860,3.0
Geoglobus,190818,1.0
Geosporobacter,390805,11.0
Gibbsiella,929812,7.0
Gilliamella,1193503,4.0
Glaciecola,89404,4.5
Glaesserella,2094023,6.0
Gloeobacter,33071,1.0
Gloeocapsa,102231,2.0
Gluconacetobacter,89583,4.0
Gluconobacter,441,4.5
Glutamicibacter,1742989,6.0
Gordonia,2053,3.0
Gordonibacter,644652,2.0
Gottschalkia,1505664,6.0
Gramella,292691,3.0
Granulibacter,364409,3.0
Granulicella,940557,1.0
Granulosicoccus,437504,3.0
Grimontia,246861,9.0
Gynuella,1445504,4.0
Haematospirillum,1804663,5.0
Haemophilus,724,6.0
Hafnia,568,8.0
Hahella,158481,5.0
Halalkalicoccus,332246,1.0
Halanaeroarchaeum,1656823,1.0
Halanaerobium,2330,4.0
Haliangium,162027,2.0
Halioglobus,1217416,2.0
Haliscomenobacter,2349,2.0
Haloarcobacter,2321115,4.0
Haloarcula,2237,3.0
Halobacillus,45667,7.0
Halobacteriovorax,1652133,2.0
Halobacterium,2239,1.0
Halobacteroides,42417,5.0
Halobiforma,203193,3.0
Halococcus,2249,2.0
Halocynthiibacter,1579315,3.0
Halodesulfurarchaeum,1980514,1.0
Haloferax,2251,2.0
Halogeometricum,60846,2.0
Halohasta,1450140,2.0
Halomicrobium,203135,3.0
Halomicronema,170610,2.0
Halomonas,2745,6.0
Halopenitus,1209988,2.0
Halopiger,387342,3.0
Haloplanus,376170,2.0
Haloquadratum,293431,2.0
Halorhabdus,146825,1.0
Halorhodospira,85108,2.0
Halorientalis,1073987,2.0
Halorubrum,56688,2.5
Halosimplex,171163,2.0
Halostagnicola,353799,2.0
Halotalea,376488,6.0
Haloterrigena,121871,2.5
Halothece,76023,3.0
Halothermothrix,32636,4.0
Halothiobacillus,109262,2.0
Hartmannibacter,1572860,2.0
Helicobacter,209,2.0
Heliobacterium,2697,10.0
Herbaspirillum,963,3.0
Herbinix,1663717,4.0
Herminiimonas,303379,2.0
Hippea,84404,2.0
Hirschia,2723,2.0
Histophilus,214906,5.0
Hoeflea,274591,1.0
Hoyosella,697025,3.0
Humibacter,427753,2.0
Hungateiclostridium,2304692,4.0
Hydrogenobacter,939,1.0
Hydrogenobaculum,168657,2.0
Hydrogenophaga,47420,2.0
Hydrogenovibrio,28884,3.0
Hydromonas,1910924,4.0
Hymenobacter,89966,3.0
Hyperthermus,54247,1.0
Hyphomicrobium,81,1.0
Hyphomonas,85,1.0
Ichthyobacterium,1755829,1.0
Idiomarina,135575,4.0
Ignavibacterium,795750,1.0
Ignicoccus,54258,1.0
Ilyobacter,167639,8.0
Immundisolibacter,1934947,1.0
Intestinimonas,1392389,2.0
Intrasporangium,53357,2.0
Isoptericola,254250,3.5
Isosphaera,127,3.0
Janibacter,53457,2.0
Jannaschia,188905,1.0
Janthinobacterium,29580,8.0
Jeongeupia,885864,5.0
Jeotgalibaca,1470540,6.0
Jeotgalibacillus,157226,9.0
Jonesia,43673,5.0
Kamptonema,1501433,1.0
Kangiella,261963,2.0
Ketobacter,2025617,3.0
Ketogulonicigenium,92944,5.0
Kibdelosporangium,2029,3.0
Kineococcus,33981,4.0
Kingella,32257,4.0
Kiritimatiella,1921784,1.0
Kitasatospora,2063,9.0
Klebsiella,570,8.0
Kluyvera,579,7.0
Kocuria,57493,3.0
Komagataeibacter,1434011,5.0
Kordia,221065,3.0
Kosakonia,1330547,7.0
Kosmotoga,651456,2.0
Kozakia,153497,5.0
Kribbella,182639,2.0
Kurthia,1649,9.0
Kushneria,504090,4.0
Kutzneria,43356,3.0
Kyrpidia,1129704,5.0
Kytococcus,57499,2.0
Labilithrix,1524217,4.0
Labrenzia,478070,3.0
Laceyella,292635,12.0
Lachnoclostridium,1506553,5.0
Lacimicrobium,1751872,4.0
Lacinutrix,291183,2.0
Lactobacillus,1578,5.0
Lactococcus,1357,6.0
Lacunisphaera,1961799,1.0
Laribacter,168470,7.0
Lawsonella,1847725,2.0
Lawsonia,41707,2.0
Leadbetterella,319458,3.0
Leclercia,83654,8.0
Legionella,445,3.0
Leifsonia,110932,1.0
Leisingera,191028,5.0
Lelliottia,1330545,8.0
Leminorella,82980,7.0
Lentibacillus,175304,6.0
Lentzea,165301,5.0
Leptolyngbya,47251,3.0
Leptonema,32205,2.0
Leptospira,171,2.0
Leptospirillum,179,2.0
Leptothrix,88,2.0
Leptotrichia,32067,5.0
Leuconostoc,1243,4.0
Liberibacter,34019,3.0
Limnobaculum,2172100,7.0
Limnochorda,1676651,2.0
Limnohabitans,665874,2.5
Listeria,1637,6.0
Lonsdalea,1082702,7.0
Luteibacter,242605,2.0
Luteimonas,83614,1.5
Luteipulveratus,745364,2.0
Luteitalea,2004797,1.0
Lutibacter,358023,2.0
Lysinibacillus,400634,12.0
Lysobacter,68,2.0
Macrococcus,69965,5.0
Mageeibacillus,1637257,2.0
Magnetococcus,162171,3.0
Magnetospira,1182780,2.0
Magnetospirillum,13134,2.0
Mahella,252965,3.0
Malacobacter,2321114,6.0
Mannheimia,75984,6.0
Maribacter,252356,2.0
Maricaulis,74317,2.0
Marichromatium,85076,3.0
Mariniflexile,527198,2.0
Marinilactibacillus,191769,4.0
Marinithermus,186191,3.0
Marinitoga,160798,3.0
Marinobacter,2742,3.0
Marinobacterium,48075,6.0
Marinomonas,28253,8.0
Marinovum,367771,2.0
Mariprofundus,377315,1.5
Maritalea,623276,2.0
Maritimibacter,404235,1.0
Marivirga,869806,2.0
Marivivens,1759396,3.0
Martelella,293088,3.0
Massilia,149698,7.0
Megamonas,158846,5.0
Megasphaera,906,7.0
Meiothermus,65551,2.0
Melaminivora,1649468,3.0
Melioribacter,1134403,1.0
Melissococcus,33969,4.0
Melittangium,44,4.0
Mesoplasma,46239,2.0
Mesorhizobium,68287,2.0
Mesotoga,1184396,2.0
Metallosphaera,41980,1.0
Methanobacterium,2160,2.0
Methanobrevibacter,2172,2.0
Methanocaldococcus,196118,2.0
Methanocella,570266,2.5
Methanococcoides,2225,3.0
Methanococcus,2184,3.0
Methanocorpusculum,2192,3.0
Methanoculleus,45989,1.0
Methanohalobium,2321,2.0
Methanohalophilus,2175,2.0
Methanolacinia,230355,2.0
Methanolobus,2220,3.0
Methanomassiliicoccus,1080709,1.0
Methanomethylovorans,101191,2.0
Methanoregula,395331,1.0
Methanosalsum,196136,3.0
Methanosarcina,2207,3.0
Methanosphaera,2316,3.0
Methanosphaerula,475087,3.0
Methanospirillum,2202,4.0
Methanothermobacter,145260,2.0
Methanothermococcus,155862,2.0
Methanothermus,2179,2.0
Methanothrix,2222,1.5
Methanotorris,196119,2.0
Methylacidiphilum,511745,1.0
Methylibium,316612,1.0
Methylobacillus,404,2.0
Methylobacterium,407,5.5
Methyloceanibacter,1484898,1.0
Methylocella,120652,2.0
Methylococcus,413,2.0
Methylocystis,133,1.5
Methylomicrobium,39773,3.0
Methylomonas,416,3.0
Methylophaga,40222,3.0
Methylophilus,16,2.0
Methylorubrum,2282523,5.0
Methylosinus,425,3.0
Methylotenera,359407,2.5
Methyloversatilis,378210,2.0
Methylovorus,81682,2.0
Methylovulum,762296,1.0
Micavibrio,213485,1.0
Microbacterium,33882,2.0
Microbulbifer,48073,3.5
Microcella,337004,1.0
Micrococcus,1269,2.0
Microcoleus,44471,4.0
Microcystis,1125,2.0
Microlunatus,29404,1.0
Micromonospora,1873,3.0
Micropruina,116071,1.0
Microterricola,518733,3.0
Microvirga,186650,3.5
Minicystis,1649470,4.0
Miniimonas,947525,2.0
Mitsuaria,65047,2.0
Mobiluncus,2050,2.0
Modestobacter,88138,3.0
Mogibacterium,86331,2.0
Moorea,1155738,2.0
Moorella,44260,1.0
Moraxella,475,4.0
Mordavella,1981033,4.0
Morganella,581,7.0
Moritella,58050,13.5
Mucilaginibacter,423349,3.0
Mucinivorans,1611681,2.0
Murdochiella,1161127,2.0
Muribaculum,1918540,4.0
Muricauda,111500,2.0
Mycetocola,76634,3.0
Mycobacterium,1763,1.0
Mycobacteroides,670516,1.0
Mycolicibacter,1073531,2.0
Mycolicibacterium,1866885,2.0
Mycoplasma,2093,2.0
Myroides,76831,8.5
Myxococcus,32,3.5
Nakamurella,53460,2.0
Natranaerobius,375928,4.0
Natrialba,63742,3.0
Natrinema,88723,3.0
Natronobacterium,2256,3.0
Natronococcus,29287,4.0
Natronolimnobius,253106,3.0
Natronomonas,63743,1.0
Nautilia,191291,4.0
Ndongobacter,1930845,3.0
Negativicoccus,909928,4.0
Neisseria,482,4.0
Neoasaia,320496,4.0
Neomicrococcus,1868332,3.0
Neorhizobium,1525371,3.0
Neorickettsia,33993,1.0
Niabella,379899,2.0
Niastella,354354,3.0
Nitratifractor,269260,2.0
Nitratireductor,245876,1.5
Nitratiruptor,269258,3.0
Nitrobacter,911,1.0
Nitrosococcus,1227,2.0
Nitrosomonas,914,1.0
Nitrosopumilus,338191,1.0
Nitrososphaera,497726,1.0
Nitrosospira,35798,1.0
Nitrospira,1234,1.0
Nitrospirillum,1543705,5.0
Niveispirillum,1543704,4.0
Nocardia,1817,3.0
Nocardioides,1839,3.0
Nocardiopsis,2013,5.0
Nodularia,159191,4.0
Nonlabens,363408,3.0
Nonomuraea,83681,5.0
Nostoc,1177,4.0
Novibacillus,1677050,4.0
Novosphingobium,165696,3.0
Obesumbacterium,82982,8.0
Oblitimonas,1849530,4.5
Oceanicoccus,1084558,2.0
Oceanimonas,129577,7.0
Oceanisphaera,225143,8.0
Oceanithermus,208447,2.0
Oceanobacillus,182709,9.0
Ochrobactrum,528,4.0
Octadecabacter,53945,2.0
Odoribacter,283168,4.0
Oenococcus,46254,2.0
Oleiphilus,141450,5.0
Oleispira,188907,5.0
Oligella,90243,3.0
Oligotropha,40136,1.0
Olleya,336276,4.0
Olsenella,133925,2.0
Opitutus,178440,1.0
Orientia,69474,1.0
Ornithinimicrobium,125287,2.0
Ornithobacterium,28250,3.0
Orrella,1921582,2.0
Oscillatoria,1158,2.5
Oscillibacter,459786,3.0
Ottowia,219181,2.5
Owenweeksia,267986,2.0
Oxalobacter,846,1.5
Paenalcaligenes,1100891,3.0
Paenarthrobacter,1742992,6.0
Paenibacillus,44249,10.0
Paeniclostridium,1849828,17.0
Palaeococcus,83867,2.0
Paludibacter,346096,3.0
Paludisphaera,1763521,3.0
Pandoraea,93217,4.0
Pannonibacter,227873,3.0
Pantoea,53335,7.0
Parabacteroides,375288,7.0
Paraburkholderia,1822464,6.0
Parachlamydia,83551,3.0
Paracoccus,265,3.0
Parageobacillus,1906945,10.0
Paraglaciecola,1621534,6.0
Paraliobacillus,200903,9.0
Paraphotobacterium,2042066,9.0
Pararhodospirillum,1612157,1.0
Parasaccharibacter,1602345,1.0
Parascardovia,196082,2.0
Parvibaculum,256616,1.0
Parvimonas,543311,3.0
Parvularcula,208215,1.0
Pasteurella,745,6.0
Paucibacter,318147,6.0
Paucimonas,157932,5.0
Pectobacterium,122277,7.0
Pediococcus,1253,5.0
Pedobacter,84567,5.0
Pelagibaca,360528,2.0
Pelagibacterium,1082930,2.0
Pelobacter,18,3.5
Pelodictyon,1099,2.5
Pelosinus,365348,12.0
Peptoclostridium,1481960,7.0
Peptoniphilus,162289,4.0
Persephonella,182899,2.0
Persicobacter,59740,3.0
Petrimonas,307628,2.0
Petrotoga,28236,2.0
Phaeobacter,302485,4.0
Phenylobacterium,20,1.0
Phoenicibacter,1981050,2.0
Photobacterium,657,15.0
Photorhabdus,29487,7.0
Phreatobacter,1632780,2.0
Phycisphaera,666508,1.0
Phyllobacterium,28100,3.0
Phytobacter,447792,7.0
Picrophilus,46631,1.0
Pimelobacter,2044,2.0
Pirellula,123,1.0
Piscirickettsia,1237,6.0
Planctomyces,118,3.0
Planctopirus,1649480,2.0
Planococcus,1372,9.0
Plantactinospora,673534,1.0
Plesiomonas,702,12.0
Pleurocapsa,44474,3.0
Pluralibacter,1330546,7.0
Polaribacter,52959,3.0
Polaromonas,52972,1.5
Polymorphum,991903,2.0
Polynucleobacter,44013,1.0
Pontibacter,323449,4.0
Pontimonas,1434032,1.0
Porphyrobacter,1111,1.0
Porphyromonas,836,4.0
Pragia,82984,7.0
Prauserella,142577,3.0
Prevotella,838,4.0
Prochlorococcus,1218,1.0
Propionibacterium,1743,2.0
Propionimicrobium,203133,2.0
Prosthecochloris,1101,2.0
Proteiniphilum,294702,2.0
Proteus,583,7.0
Providencia,586,7.0
Pseudanabaena,1152,2.0
Pseudarcicella,1664383,3.0
Pseudarthrobacter,1742993,5.0
Pseudoalteromonas,53246,9.0
Pseudoclostridium,2304693,4.0
Pseudodesulfovibrio,2035811,2.0
Pseudogulbenkiania,568394,8.0
Pseudohongiella,1524249,2.0
Pseudomonas,286,5.0
Pseudonocardia,1847,4.0
Pseudopedobacter,1649482,4.0
Pseudopropionibacterium,1912217,2.0
Pseudorhodoplanes,1734920,1.0
Pseudothermotoga,1643951,1.0
Pseudoxanthomonas,83618,1.0
Psychrobacter,497,4.0
Psychroflexus,83612,3.0
Psychromicrobium,2078575,2.0
Psychromonas,67572,10.0
Pusillimonas,305976,2.0
Pyrobaculum,2276,1.0
Pyrococcus,2260,1.0
Pyrodictium,2308,1.0
Pyrolobus,54251,1.0
Rahnella,34037,7.0
Ralstonia,48736,3.0
Ramlibacter,174951,1.5
Raoultella,160674,8.0
Rathayibacter,33886,2.0
Reinekea,230494,5.0
Renibacterium,1645,2.0
Rhizobacter,212743,3.0
Rhizobium,379,3.0
Rhizorhabdus,1649486,2.0
Rhodanobacter,75309,2.0
Rhodobaca,119541,3.0
Rhodobacter,1060,3.5
Rhodococcus,1827,4.0
Rhodoferax,28065,2.5
Rhodoluna,529883,1.0
Rhodomicrobium,1068,2.0
Rhodopirellula,265488,1.0
Rhodoplanes,29407,1.0
Rhodopseudomonas,1073,2.0
Rhodospirillum,1081,4.0
Rhodothermus,29548,1.0
Rhodovulum,34008,3.0
Rickettsia,780,1.0
Riemerella,34084,3.0
Rivularia,373984,3.0
Robiginitalea,252306,2.0
Roseateles,93681,4.0
Roseburia,841,4.0
Roseibacterium,159345,2.0
Roseiflexus,120961,2.0
Roseobacter,2433,1.0
Roseomonas,125216,5.0
Roseovarius,74030,2.0
Rothia,32207,3.0
Rouxiella,1565532,8.0
Rubinisphaera,1649490,2.0
Rubrivivax,28067,3.0
Rubrobacter,42255,1.0
Ruegeria,97050,4.0
Rufibacter,1379908,3.0
Ruminiclostridium,1508657,8.0
Ruminococcus,1263,4.0
Rummeliibacillus,648802,12.0
Runella,105,2.5
Saccharomonospora,1851,3.0
Saccharophagus,316625,2.0
Saccharopolyspora,1835,4.0
Saccharospirillum,231683,4.0
Saccharothrix,2071,4.0
Sagittula,58842,2.0
